Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
60	-58.061253	59.545265	52.416843	-131.09761	-99.17198	37.740925	-35.75897	-183.1247	903.1667	912.4	299999	79.176476	26.581469	201.55307	-311.76758	-80.28564	18.6071	3660.1744182109833
61	-121.50397	24.568918	-82.94906	-164.28995	-120.14175	27.692682	-76.89939	-162.66283	758.7143	274.7	304999	78.07805	27.260038	201.58546	-326.83133	-78.985245	16.439535	3705.423305749893
62	-136.2349	20.726336	-111.353134	-165.9533	-153.40146	26.099457	-117.13023	-203.08897	487.3	295.5	309999	72.18928	28.356024	200.51741	-272.3117	-72.90791	16.25627	3750.8262877464294
63	-144.3636	27.813694	-97.78672	-193.32573	6.3265524	97.39631	173.96579	-104.73525	409.27274	923.3	314999	64.34033	28.40642	191.77113	-298.86713	-64.93656	14.479191	3814.604962348938
64	65.13939	109.35864	213.51347	-59.08234	134.3749	84.72336	223.5992	-47.122158	944.0	721.9	319999	58.058285	27.01397	184.43953	-354.66235	-58.7571	16.435581	3879.5364904403687
65	60.41714	98.5821	158.73764	-75.37898	161.19446	65.24402	218.97484	-17.296396	715.7143	520.7	324999	55.73269	24.965633	186.01654	-314.0758	-56.514893	14.28427	3933.0345623493195
66	97.64983	72.95186	175.77846	-52.504185	172.12256	80.36268	249.43849	-56.422817	759.1429	506.7	329999	56.089363	23.30907	190.85875	-325.55728	-56.93514	15.227713	3987.2346708774567
67	136.77428	54.119835	218.18088	43.74252	164.44019	51.44592	221.5992	79.93281	750.8571	813.7	334999	57.195477	22.59644	183.70792	-303.34555	-58.066025	15.80387	4047.3767697811127
68	170.2495	78.13642	236.26096	-14.540357	134.25906	61.789345	211.0041	-8.900427	628.2857	805.3	339999	58.35082	22.589092	182.17554	-297.1336	-59.19507	14.506829	4116.720152854919
69	116.26762	68.455215	195.12444	-11.047697	118.175476	51.66359	198.66096	50.37762	749.7143	851.7	344999	58.064182	22.165281	182.94022	-323.6438	-58.82613	15.523444	4178.6502113342285
70	199.31342	26.772715	237.82722	158.44368	203.94276	44.499638	255.10985	82.58839	654.375	640.7	349999	56.59777	22.23583	188.34152	-238.68843	-57.3307	13.55485	4225.788807630539
71	174.6348	93.46859	290.76947	0.17741044	184.08844	28.770002	227.13823	140.04543	387.5	755.8	354999	55.15209	22.457582	189.04266	-292.3768	-55.863117	13.505803	4269.071710109711
72	185.8059	92.536446	266.49185	15.845518	181.79132	99.035645	280.42868	-28.5267	291.70587	372.6	359999	54.449005	21.8832	186.0349	-271.21576	-55.19692	12.631676	4304.735302209854
73	176.45436	110.45197	275.77316	-71.48873	158.90121	107.08242	271.58527	10.663132	332.46667	199.5	364999	56.296932	21.910082	200.4893	-272.07443	-57.199387	13.461787	4337.481079816818
74	150.9495	154.14485	271.91034	-451.67966	210.7677	82.92829	289.24252	26.928158	194.15384	537.0	369999	61.363274	24.769024	218.0732	-313.657	-62.399513	14.724663	4373.511761188507
75	178.52344	115.323364	295.73895	-125.864075	177.36119	125.12432	284.21466	-76.63179	303.2143	546.7	374999	66.78022	27.790892	227.34334	-337.70547	-67.7774	16.028498	4415.910840272903
76	146.04451	119.98965	282.53677	-24.86573	152.00215	169.33273	280.9573	-287.75833	405.69232	396.4	379999	68.378426	29.04228	232.14946	-274.5072	-69.25615	17.473913	4452.491426944733
77	137.71336	97.94931	268.7777	20.25341	179.94302	102.962074	279.5199	14.961519	389.07144	272.4	384999	66.32606	29.889967	232.60919	-303.9174	-67.09586	16.23332	4487.338059663773
78	56.81923	103.11341	308.8313	-93.233055	69.20112	81.3972	263.1462	-9.740282	219.39131	184.6	389999	64.62634	30.541922	229.98557	-273.62445	-65.41445	14.062135	4520.483520269394
79	121.088234	102.74642	285.5713	1.68613	204.5859	90.710945	281.2872	24.327438	215.91304	384.1	394999	62.20873	30.616941	223.45288	-312.81262	-62.891407	16.480556	4555.362931251526
80	191.9985	82.30179	266.57825	17.03554	102.63767	125.04627	258.2029	-135.69647	338.06668	275.8	399999	58.645187	29.451797	213.72441	-263.48178	-59.33483	16.78126	4590.075254678726
81	86.77137	139.27113	265.31735	-155.98196	23.704865	145.07219	257.9466	-102.440994	319.23077	327.9	404999	56.832348	28.836388	205.01582	-282.6559	-57.511875	16.375195	4628.660796403885
82	64.20616	112.98317	273.4878	-98.781334	159.1948	126.89485	263.19684	-91.77831	402.15384	495.2	409999	56.47816	28.62599	206.1241	-312.82407	-57.26914	17.274477	4670.874625921249
83	157.23935	127.66922	300.77072	-52.37387	232.50916	62.269993	275.95645	52.73025	312.16666	311.3	414999	58.772747	29.227108	206.6879	-274.2208	-59.61659	17.677668	4704.820842266083
84	178.48392	108.72661	302.0773	-13.309214	188.0213	85.565636	279.51828	33.59287	259.6842	364.6	419999	60.250984	29.167255	203.0969	-355.80164	-61.05183	19.04194	4739.050581216812
85	235.05525	56.385963	285.4132	47.618626	145.33998	141.19632	288.88943	-121.18541	329.07144	368.6	424999	59.80112	29.111683	200.34462	-352.8603	-60.51119	18.513084	4776.731707811356
86	150.71864	115.11299	273.78217	-70.82836	99.06888	132.02194	264.47314	-49.41585	412.25	773.7	429999	58.682842	28.46789	198.16708	-305.81992	-59.401176	17.287931	4820.61480140686
87	166.60905	104.46647	286.91156	16.180677	163.19154	92.348236	273.72852	20.058672	323.33334	406.1	434999	58.464916	28.00424	196.764	-252.27528	-59.21498	17.002682	4858.3291437625885
88	146.20663	108.93168	307.91666	8.394212	143.36684	86.541115	255.27898	1.8152581	262.2	570.8	439999	60.07318	27.92685	199.50781	-300.22784	-60.91283	18.026628	4897.244072437286
89	162.18056	93.80368	253.51204	12.823901	110.51687	153.40637	251.11827	-253.10281	378.66666	369.7	444999	63.168095	28.330032	210.17422	-288.37466	-64.057434	18.610071	4936.475536584854
90	133.49591	113.098045	297.87308	-31.63659	47.110172	115.70427	258.2501	-197.73193	391.66666	691.3	449999	65.142426	29.397526	219.3244	-265.52304	-65.991425	19.26785	4983.676784992218
91	197.39186	92.18997	269.1459	22.34714	201.85963	82.58235	293.96844	23.773052	341.33334	507.4	454999	67.256485	29.793818	222.46982	-230.15219	-68.153366	18.050041	5024.594673395157
92	210.21239	89.85725	275.33417	-55.767517	178.28006	101.017815	258.94635	-27.995985	536.2727	540.5	459999	68.824905	30.252247	226.6449	-237.29688	-69.694664	19.549244	5064.756551742554
93	164.24017	107.50498	270.4112	-33.450367	150.11069	115.115005	263.4044	-22.629425	510.77777	291.6	464999	69.33236	29.821114	227.63559	-324.1063	-70.19142	19.12763	5102.238576412201
94	129.00012	147.03593	267.63867	-173.62679	-28.245708	205.65692	206.32068	-521.01306	613.625	809.7	469999	68.82487	29.578482	221.34802	-316.51678	-69.615135	18.790699	5148.522781133652
95	115.46577	143.50423	255.05232	-142.01825	126.021324	149.77988	267.7757	-180.71317	444.66666	333.6	474999	66.83718	28.451822	216.45969	-392.75018	-67.56344	18.270426	5189.938700199127
96	129.82262	171.71573	289.84576	-195.47765	184.73087	85.805	267.0526	28.971825	485.5	391.6	479999	63.774506	26.915308	215.19785	-268.35236	-64.402916	17.191553	5231.070764064789
